id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
861105,Home in Bangkok · ★4.87 · 2 bedrooms · 4 beds · 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,48,2023-12-02,0.36,8,118,10,
145343,Rental unit in Bangkok · ★4.61 · 1 bedroom · 1 bed · 1.5 baths,703944,Parinya,,Lat Krabang,13.721868,100.771713,Private room,1200,1,56,2023-12-19,0.50,1,364,28,
863341,Condo in Bangkok · ★4.30 · 1 bedroom · 1 bed · 1 bath,4474838,Sue,,Yan na wa,13.67907,100.52887,Entire home/apt,935,28,27,2023-04-25,0.24,4,336,1,
863669,Condo in Bangkok · ★4.67 · 2 bedrooms · 2 beds · 2 baths,4474838,Sue,,Khlong San,13.72162,100.5075,Entire home/apt,2251,7,100,2023-12-18,0.77,4,319,10,
1344388,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,2653642,Hab,,Din Daeng,13.77126,100.57088,Private room,1200,2,0,,,1,0,0,
1350390,Rental unit in Bangkok · ★4.55 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Sathon,13.71628,100.51238,Entire home/apt,1140,1,121,2023-11-24,0.95,42,353,13,
156583,Rental unit in Bangkok · ★4.17 · 1 bedroom · 1 bed · 1 bath,58920,Gael,,Bang Rak,13.7285,100.52313,Entire home/apt,1090,7,65,2023-04-13,0.45,2,167,3,
866152,Guesthouse in Bangkok · 1 bedroom · 3 beds · 1 bath,822284,Rae And Charlie,,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,,,8,153,0,
159355,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,764690,Wirat,,Yan na wa,13.71363,100.54652,Entire home/apt,1732,2,0,,,1,0,0,
866329,Rental unit in Bangkok · ★4.67 · 1 bedroom · 1 bed · 1 bath,4549405,Carlos,,Bang Rak,13.72479,100.53039,Private room,728,21,16,2023-11-17,0.13,2,304,6,
1353517,Condo in Bangkok · ★4.78 · 2 bedrooms · 3 beds · 2 baths,7327298,Notee,,Khlong Toei,13.72393,100.57647,Entire home/apt,3450,5,36,2023-12-04,0.37,2,64,10,
1394285,Rental unit in Bangkok · ★4.22 · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Suanluang,13.73789,100.64271,Private room,850,1,9,2023-09-26,0.10,13,365,1,
1395513,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Suanluang,13.73613,100.64319,Private room,1050,1,0,,,13,365,0,
1400351,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bueng Kum,13.78327,100.67124,Private room,700,1,3,2019-09-19,0.05,13,365,0,
1404697,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,,,13,365,0,
166267,Condo in Bangkok · ★4.43 · 1 bedroom · 3 beds · 1 bath,58920,Gael,,Bang Rak,13.72733,100.52555,Entire home/apt,1680,6,77,2023-10-26,0.53,2,172,6,
169285,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,806600,Frances,,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,,,1,0,0,
869715,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4583001,Suchela,,Khlong Toei,13.7142,100.59233,Entire home/apt,866,120,0,,,2,0,0,
169514,Rental unit in Bangkok · 2 bedrooms · 1 bed · 2 baths,729617,Kanchuya,,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,0,,,1,365,0,
1405479,Rental unit in Bangkok · 2 bedrooms · 1 bed · 1 shared bath,7489121,Anis,,Bang Phlat,13.807,100.51059,Private room,1676,1,0,,,13,365,0,
1405480,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,,,13,365,0,
1406065,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,,,13,365,0,
172332,Guesthouse in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,24,2023-10-03,0.18,8,123,3,
1412787,Rental unit in Bangkok · ★4.71 · 1 bedroom · 2 beds · 1 bath,7616231,Jeab,,Khlong San,13.72174,100.50769,Entire home/apt,1833,3,115,2023-12-08,0.95,1,143,26,
241416,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,960892,Vajirune,,Phra Khanong,13.70169,100.5977,Private room,2248,3,0,,,1,365,0,
873841,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 private bath,4115838,Primrose,,Thawi Watthana,13.79109,100.33362,Private room,3500,2,0,,,6,362,0,
881208,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4549405,Carlos,,Bang Rak,13.72386,100.52563,Private room,800,180,0,,,2,365,0,
296960,Rental unit in Bangkok · ★4.90 · 1 bedroom · 1 bed · 1 bath,175729,Mitch & Mam,,Chatu Chak,13.80926,100.56892,Entire home/apt,901,358,56,2019-08-04,0.39,1,0,0,
888304,Condo in Bangkok · ★4.89 · 1 bedroom · 1 bed · 1 bath,2592798,Nokina,,Chatu Chak,13.83028,100.57065,Entire home/apt,,4,9,2021-12-14,0.07,2,0,0,
1419797,Rental unit in Bangkok · ★4.93 · 2 bedrooms · 2 beds · 2 baths,7644106,Jirapha,,Parthum Wan,13.74381,100.54792,Entire home/apt,2250,7,109,2023-12-17,0.86,1,151,18,
1420577,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,7647775,Hataipat,,Khlong San,13.71847,100.50914,Entire home/apt,3068,45,1,2013-08-25,0.01,5,238,0,
